,Area,Availability,BHK,Builder,Landmark,Locality,Price,Property
0, Super Built-up Area 1111 Sq.Ft , Possession Aug 2019 , Config. 2 BHK Apartments ,Casa Grande Homes Private Ltd,"Hoodi Circle, Bangalore"," Kodigehalli Main Rd, Kodigehalli, Krishnarajapura, Bengaluru, Karnataka 560049, India Hoodi Circle  Hoodi Circle IN ", 52.77 Lac,Casagrand Royce
1, Carpet Area 430 Sq.Ft , Possession Sep 2022 , Config. 1 BHK Apartments ,Prop Tiger Realty Pvt Ltd,"Hennur Main Road, Bangalore"," Bileshivale Main Rd, Hanumanthappa Layout, Essel gardens, Bengaluru, Karnataka 560077, India Hennur Main Road  Hennur Main Road IN ", 30.57 Lac,Rohan Upavan Phase 1
2, Super Built-up Area 1200 Sq.Ft , Possession May 2019 , Config. 2 BHK Apartments ,Narya Group,"Kadugodi, Bangalore"," Santhe Road, V S Reddy Colony, Kadugodi, Bengaluru, Karnataka 560067, India Kadugodi  Kadugodi IN ", 43.2 Lac,Narya 5 Elements
3, Super Built-up Area 1187 Sq.Ft , Property Age < 1 year , Config. 2 BHK Apartments ,Grihamithra Constructions,"Rajarajeshwari Nagar, Bangalore"," 3, R.R Nagar Main Road, B Block, Ideal Homes Layout, Kenchenhalli, RR Nagar, Bengaluru, Karnataka 560098, India Rajarajeshwari Nagar  Rajarajeshwari Nagar IN ", 40.24 Lac,Grand Gandharva
4, Super Built-up Area 1100 Sq.Ft , Property Age New , Config. 2 BHK Apartments ,Sanvi Properties,"Whitefield, Bangalore"," Sanvi Sankalpam Main Rd, Bengaluru, Karnataka 560067, India Whitefield  Whitefield IN ", 36.3 Lac,Sanvi Sankalpam
5, Super Built-up Area 525 Sq.Ft , Possession Oct 2022 , Config. 1 BHK Apartments ,Puravankara Projects Ltd,"Kanakapura Road, Bangalore"," 7th Main Rd, Judicial Layout 2nd Phase, Jyotipuram, Bengaluru, Karnataka 560062, India Kanakapura Road  Kanakapura Road IN ", 27 Lac,Provident Park Square
6, Super Built-up Area 1100 Sq.Ft , Possession Dec 2021 , Config. 2 BHK Apartments ,A Peace Projects LLP,"Yelahanka, Bangalore"," Anantapura Rd, Ferrar Nagar, Anantapuram, Bengaluru, Karnataka 560064, India Yelahanka  Yelahanka IN ", 41.79 Lac,Peace Paramount
7, Super Built-up Area 790 Sq.Ft , Property Age New , Config. 1 BHK Apartments ,Supreme Builders And Developers,"Kengeri, Bangalore"," Unnamed Road, Kodipalya, Bengaluru, Karnataka 560060, India Kengeri  Kengeri IN ", 29.23 Lac,Supreme Sapphire
8, Super Built-up Area 1090 Sq.Ft , Possession Dec 2019 , Config. 2 BHK Apartments ,ATZ Properties,"Varthur, Bangalore"," Halasahalli Road, Varthur, Bengaluru, Karnataka 560087, India Varthur  Varthur IN ", 39.24 Lac,ATZ Estrella
9, Corner Plot No ," Front Road Width 
30 feet ", Plot Area 1200 Sq Feet ,Vignesh,"Hoskote, Bangalore"," Hoskote,Bangalore Hoskote  ", 20.4 Lac,Eco City
10, Super Built-up Area 782 Sq.Ft , Property Age < 1 year , Config. 1 BHK Apartments ,DS-MAX Properties Pvt. Ltd.,"Attibele, Bangalore"," Bazaar St, Attibele, Karnataka 562107, India Attibele  Attibele IN ", 19.55 Lac,DS-MAX Sarovar
11, Super Built-up Area 1225 Sq.Ft , Property Age New , Config. 2 BHK Apartments ,Mathaphi Constructions,"Kaggadasapura, Bangalore"," 2nd Main Road, Dasappa Layout, Vignan Nagar, Doddanekundi, Kaggadasapura, Bengaluru, Karnataka 560093, India Kaggadasapura  Kaggadasapura IN ", 61.13 Lac,Mathapathi Brundaavan Apartments
12, Super Built-up Area 950 Sq.Ft , Possession Nov 2018 , Config. 2 BHK Apartments ,Lavish Spaces Private Limited,"Electronic City Phase I, Bangalore"," Electronics City Phase 1, Electronic City, Bengaluru, Karnataka, India Electronic City Phase I  Electronic City Phase I IN ", 29 Lac,Murari Grands
13, Super Built-up Area 814 Sq.Ft , Property Age New , Config. 2 BHK Apartments ,,"Tumkur Road, Bangalore"," Huskur Road, Makali, Karnataka, India Tumkur Road  Tumkur Road IN ", 40 Lac,
14, Super Built-up Area 1680 Sq.Ft , Property Age 10-20 years , Config. 2 BHK Apartments ,,"Mahadevapura, Bangalore"," Tin Factory, Pai Layout, Mahadevapura, Bengaluru, Karnataka Mahadevapura  Mahadevapura IN ", 62 Lac,
15, Carpet Area 302 Sq.Ft , Possession Mar 2022 , Config. 1 RK Apartments ,Square Yards Consulting Pvt. Ltd.,"Whitefield, Bangalore", Whitefield Whitefield  Whitefield IN , 10 Lac,Sowparnika Indraprastha
16, Boundary Wall No , Corner Plot No , Plot Area 1 Acres ,,"Hennur Main Road, Bangalore"," Hennur Bagalur Road, 3rd Block, Kalyan Nagar, Bengaluru, Karnataka, India Hennur Main Road  "," 15,000",Zachariah
17, Corner Plot No , Front Road Width  Request Info  , Plot Area 1200 Sq Feet ,NBR Trifecta,"Hosur, Bangalore"," IBM India Pvt Ltd D3 Block, Vittal Mallya Road, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India Hosur  ", 7.8 Lac,NBR Meadows
18, Super Built-up Area 1760 Sq.Ft , Property Age 10-20 years , Config. 3 BHK Apartments ,,"BTM 1st Stage, Bangalore", BTM 1st Stage BTM 1st Stage  BTM 1st Stage IN , 1.4 Crore,
19, Super Built-up Area 1060 Sq.Ft , Possession Sep 2019 , Config. 2 BHK Apartments ,Evomy Solutions,"Sarjapur Road, Bangalore"," Sarjapur Road, Bangalore Sarjapur Road  Sarjapur Road IN ", 41.34 Lac,Hilife Rio
20, Super Built-up Area 788 Sq.Ft , Property Age < 1 year , Config. 1 BHK Apartments ,Upkar Developers,"Attibele, Bangalore"," Upkar Green Fields Road, Karnataka 562107, India Attibele  Attibele IN ", 24.43 Lac,Upkar Oakland
21, Super Built-up Area 1128 Sq.Ft , Property Age New , Config. 2 BHK Apartments ,Gandharva Properties,"Rajarajeshwari Nagar, Bangalore"," 3, R.R Nagar Main Road, B Block, Ideal Homes Layout, Kenchenhalli, RR Nagar, Bengaluru, Karnataka 560098, India Rajarajeshwari Nagar  Rajarajeshwari Nagar IN ", 38.24 Lac,Grand Gandharva
22, Super Built-up Area 1000 Sq.Ft , Possession May 2019 , Config. 2 BHK Apartments ,S G Developers,"Kengeri, Bangalore"," Kengeri, Bengaluru, Karnataka, India Kengeri  Kengeri IN ", 30 Lac,S G Vanya Palace
23, Super Built-up Area 1185 Sq.Ft , Property Age New , Config. 2 BHK Apartments ,,"Chikka Banaswadi, Bangalore"," OMBR Layout, Banswadi, Bengaluru, Karnataka, India Chikka Banaswadi  Chikka Banaswadi IN ", 65 Lac,
